[ ] merge original todo list into github
task,category
Ground Combat Rock-Paper-Scissors (http://cosmicsupremacy.com/forum/thread.php?postid=27316#post27316),Advanced Combat
Ship based Attack Advantages (http://cosmicsupremacy.com/forum/thread.php?threadid=1097&hilight=combat+system),Advanced Combat
Advanced Plant bombing mechanics (http://cosmicsupremacy.com/forum/thread.php?threadid=3991),Advanced Combat
DeathStar/Space Stations (http://cosmicsupremacy.com/forum/thread.php?threadid=3977&hilight=death+star),Advanced Combat
"Carriers, Fighters and other such (http://cosmicsupremacy.com/forum/thread.php?threadid=4166&hilight=death+star)",Advanced Combat
Blockading planets (http://cosmicsupremacy.com/forum/thread.php?postid=43030#post43030),Advanced Combat
Upgrading ships/Recycling (http://cosmicsupremacy.com/forum/thread.php?threadid=1627&threadview=0&hilight=&hilightuser=0&page=1),General/Misc
Galaxy Score chart (http://cosmicsupremacy.com/forum/thread.php?threadid=4770),General/Misc
RRS News / Phone Interface (http://cosmicsupremacy.com/forum/thread.php?postid=62237#post62237),General/Misc
Colonizing Admirals (http://cosmicsupremacy.com/forum/thread.php?threadid=2893&hilight=Colonizing+Admirals),Admirals
way-points (http://cosmicsupremacy.com/forum/thread.php?threadid=3275),Admirals
Patrol Admiral (http://cosmicsupremacy.com/forum/thread.php?threadid=4909),Admirals
Awards and honours have come up a couple of times... (http://cosmicsupremacy.com/forum/thread.php?threadid=4416),Profile
Extended Hall of Fame stats. (http://cosmicsupremacy.com/forum/thread.php?threadid=4410),Profile
Expanded ranking (http://cosmicsupremacy.com/forum/thread.php?threadid=3769&page=4),Profile
Split production so more than 1 thing can be produce per turn.,Planetry
Diplomacy Scans (http://cosmicsupremacy.com/forum/thread.php?threadid=5799),Scans / Tech
"AI players: scope whether the probe harness in client/dev_tools/ai_player/ can hold a seat for a full game, the bar every AI Players item depends on",AI Players
"AI players: on-demand AI galaxies, a player asks the server for a new galaxy filled with bots (single-player / practice mode)",AI Players
"AI players: local play, a bot-filled galaxy running entirely on the player machine, no server dependency and no waiting",AI Players
"AI players: lobby seat filling, offer a waiting multiplayer galaxy the option to start early with bots in the remaining seats",AI Players
